strainID,Assay Raw
M647,0.4027
M647,0.3868
M647,0.3964
M648,0.3851
M648,0.3806
M648,0.3672
M648,0.3789
M648,0.3951
M647,0.3808
M9,0.4004
M647,0.3676
M647,0.3939
M647,0.3981
M647,0.3873
M648,0.3859
M648,0.3816
M648,0.3670000000000001
M648,0.3872
M648,0.3677
M647,0.3846
M647,0.3981
M647,0.3907
M647,0.3688
M647,0.3959
M648,0.3871
M648,0.3858
M648,0.3716
M648,0.5085
M648,0.3926
M648,0.3883
M647,0.3938
M647,0.3982
M647,0.3765
M9,0.4066
M647,0.387
M648,0.3747
M9,0.408
M648,0.3752
M648,0.3868
M648,0.4158
M648,0.4006
M647,0.4066
M647,0.3926
M647,0.3908
M647,0.38299999999999995
M9,0.3837
M648,0.4007
M648,0.3793
M9,0.3926
M648,0.3778
M648,0.3931
M648,0.3741
M647,0.4158
M647,0.402
M647,0.3785
M647,0.4288
M647,0.3842
M648,0.3599
M648,0.3784
M648,0.3865
M648,0.3775
M648,0.3863
M648,0.3984
M647,0.3833
M647,0.3671
M647,0.3826
M647,0.391
M647,0.4171
M728,0.3374
M648,0.3824
M648,0.3737
M648,0.3639
M648,0.3774
M9,0.3945
M648,0.3995
M647,0.385
M647,0.4001
M647,0.3914
M647,0.4246
M647,0.3909
M728,0.3413
M648,0.3662
M648,0.4001
M648,0.4181
M648,0.3865
M648,0.3966
M9,0.3983
M9,0.4211
M653,0.4092
M653,0.4034
M653,0.3556
M653,0.3994
M653,0.36
M653,0.3912
M654,0.3816
M654,0.4018
M654,0.4106
M654,0.3914
M653,0.3962
M9,0.4142
M653,0.3891
M653,0.3614
M653,0.4099
M653,0.4315
M653,0.3876
M654,0.4589
M654,0.3881
M654,0.3992
M654,0.4126
M653,0.4155
M653,0.3848
M653,0.4699
M653,0.3894
M653,0.3641
M653,0.4651
M653,0.3496
M654,0.3956
M654,0.3882
M654,0.4046
M654,0.4191
M653,0.4038
M653,0.413
M653,0.3872
M9,0.3905
M653,0.3471
M653,0.3619
M9,0.3913
M654,0.3916
M654,0.4003
M654,0.3908
M654,0.4011
M653,0.4103
M653,0.3131
M653,0.3987
M653,0.3615
M9,0.3993
M653,0.3808
M653,0.3957
M9,0.3883
M654,0.3904
M654,0.3827
M654,0.3993
M653,0.4201
M653,0.358
M653,0.3487
M653,0.3976
M653,0.3977
M653,0.3588
M653,0.4028
M654,0.3924
M654,0.382
M654,0.3991
M654,0.4098
M653,0.40700000000000003
M653,0.3956
M653,0.4042
M653,0.3966
M653,0.4022
M728,0.3376
M653,0.4097
M654,0.3844
M654,0.3786
M654,0.3961
M9,0.3895
M654,0.4069
M653,0.4217
M653,0.4107
M653,0.4034
M653,0.5169
M653,0.5448
M728,0.3397
M653,0.4699
M654,0.3812
M654,0.3976
M654,0.3863
M654,0.40299999999999997
M9,0.3942
M9,0.4211
M655,0.4092
M657,0.4034
M658,0.3556
M659,0.3994
M660,0.36
M662,0.3912
M663,0.3816
M663,0.4018
M663,0.4106
M663,0.3914
M655,0.3962
M9,0.4142
M658,0.3891
M658,0.3614
M659,0.4099
M660,0.4315
M662,0.3876
M663,0.4589
M663,0.3881
M663,0.3992
M663,0.4126
M655,0.4155
M656,0.3848
M658,0.4699
M658,0.3894
M659,0.3641
M660,0.4651
M662,0.3496
M663,0.3956
M663,0.3882
M663,0.4046
M663,0.4191
M655,0.4038
M656,0.413
M658,0.3872
M9,0.3905
M660,0.3471
M660,0.3619
M9,0.3913
M663,0.3916
M663,0.4003
M663,0.3908
M663,0.4011
M655,0.4103
M656,0.3131
M658,0.3987
M658,0.3615
M9,0.3993
M660,0.3808
M663,0.3957
M9,0.3883
M663,0.3904
M663,0.3827
M663,0.3993
M655,0.4201
M657,0.358
M658,0.3487
M659,0.3976
M660,0.3977
M661,0.3588
M663,0.4028
M663,0.3924
M663,0.382
M663,0.3991
M663,0.4098
M655,0.40700000000000003
M657,0.3956
M658,0.4042
M659,0.3966
M660,0.4022
M728,0.3376
M661,0.4097
M663,0.3844
M663,0.3786
M663,0.3961
M9,0.3895
M663,0.4069
M655,0.4217
M657,0.4107
M658,0.4034
M659,0.5169
M660,0.5448
M728,0.3397
M661,0.4699
M663,0.3812
M663,0.3976
M663,0.3863
M663,0.40299999999999997
M9,0.3942
M9,0.3918
M664,0.3938
M664,0.3891
M664,0.3958
M664,0.4093
M665,0.3988
M665,0.3889
M665,0.3872
M665,0.3872
M666,0.3986
M666,0.4044
M663,0.406
M9,0.4004
M664,0.3945
M664,0.3871
M664,0.3849
M665,0.3851
M665,0.3973
M665,0.3925
M665,0.3862
M666,0.4034
M666,0.3939
M663,0.3955
M664,0.402
M664,0.3903
M664,0.3997
M664,0.4208
M665,0.4086
M665,0.3992
M665,0.3942
M665,0.4157
M666,0.4016
M666,0.4018
M663,0.3976
M664,0.4078
M664,0.3964
M9,0.4029
M664,0.3994
M665,0.3944
M9,0.3831
M665,0.4012
M665,0.3909
M666,0.3955
M666,0.4123
M664,0.4237
M664,0.3854
M664,0.3909
M664,0.4019
M9,0.3992
M665,0.4257
M665,0.4001
M9,0.3797
M665,0.3925
M666,0.391
M666,0.4011
M664,0.3908
M664,0.4022
M664,0.3901
M664,0.3917
M664,0.38
M665,0.3899
M665,0.396
M665,0.4095
M666,0.4182
M666,0.4057
M666,0.4031
M664,0.396
M664,0.3945
M664,0.409
M664,0.3896
M664,0.3963
M728,0.3361
M665,0.3961
M665,0.3932
M665,0.397
M666,0.4177
M9,0.3957
M666,0.40299999999999997
M664,0.4223
M664,0.3972
M664,0.4006
M664,0.4051
M665,0.4474
M728,0.3412
M665,0.3919
M665,0.3885
M665,0.3969
M666,0.3905
M666,0.4067
M9,0.40700000000000003
M9,0.4122
M666,0.4043
M666,0.4144
M667,0.4155
M667,0.3994
M667,0.3971
M667,0.3981
M667,0.3993
M667,0.3971
M667,0.3917
M667,0.4036
M666,0.4039
M9,0.4025
M666,0.4056
M667,0.3708
M667,0.38
M667,0.3862
M667,0.3955
M667,0.3971
M667,0.3868
M667,0.3932
M667,0.3911
M666,0.3982
M666,0.3908
M666,0.3984
M667,0.3903
M667,0.3997
M667,0.3891
M667,0.3931
M667,0.3907
M667,0.3935
M667,0.3918
M667,0.387
M666,0.3997
M666,0.3935
M666,0.3858
M9,0.3963
M667,0.3839
M667,0.3909
M9,0.3809
M667,0.3945
M667,0.3932
M667,0.3856
M668,0.3445
M666,0.3935
M666,0.3866
M666,0.3833
M667,0.4037
M9,0.4017
M667,0.4281
M667,0.3892
M9,0.3917
M667,0.3888
M667,0.4024
M668,0.37
M666,0.4174
M666,0.3927
M666,0.4042
M667,0.3891
M667,0.3957
M667,0.3934
M667,0.3904
M667,0.3885
M667,0.3548
M667,0.3944
M668,0.4186
M666,0.4078
M666,0.3922
M666,0.4003
M667,0.3966
M667,0.4849
M728,0.3361
M667,0.4035
M667,0.3846
M667,0.3936
M667,0.3991
M9,0.3893
M668,0.4227
M666,0.4374
M666,0.3885
M667,0.419
M667,0.3936
M667,0.395
M728,0.3417
M667,0.3916
M667,0.3833
M667,0.3915
M667,0.3959
M667,0.3879
M9,0.3879
M9,0.3959
M668,0.4025
M668,0.4069
M668,0.4034
M668,0.4257
M668,0.3994
M668,0.3567
M668,0.3914
M668,0.3921
M669,0.3941
M669,0.4001
M668,0.3716
M9,0.392
M668,0.3988
M668,0.3983
M668,0.4115
M668,0.4008
M668,0.4003
M668,0.4017
M668,0.3944
M669,0.418
M669,0.4062
M668,0.4019
M668,0.40700000000000003
M668,0.4082
M668,0.3963
M668,0.4054
M668,0.4037
M668,0.4008
M668,0.4003
M668,0.3923
M669,0.4031
M669,0.4067
M668,0.4132
M668,0.4019
M668,0.4051
M9,0.4021
M668,0.3992
M668,0.3953
M9,0.3939
M668,0.3947
M668,0.4
M669,0.3947
M669,0.3982
M668,0.4099
M668,0.3995
M668,0.389
M668,0.3993
M9,0.3915
M668,0.4374
M668,0.4036
M9,0.3977
M668,0.4039
M669,0.4008
M669,0.3973
M668,0.4051
M668,0.413
M668,0.4204
M668,0.4025
M668,0.4073
M668,0.3945
M668,0.3996
M668,0.4005
M668,0.3977
M669,0.3973
M669,0.3945
M668,0.4064
M668,0.3956
M668,0.4081
M668,0.4065
M668,0.4005
M728,0.3437
M668,0.4
M668,0.4182
M668,0.3654
M669,0.369
M9,0.4015
M669,0.4015
M668,0.4161
M668,0.4167
M668,0.4054
M668,0.4088
M668,0.4108
M728,0.345
M668,0.391
M668,0.3984
M668,0.4184
M669,0.3709
M669,0.4248
M9,0.3989
M9,0.3952
M669,0.3954
M669,0.39
M670,0.3886
M670,0.39899999999999997
M670,0.3847
M670,0.3997
M670,0.4055
M670,0.401
M670,0.3925
M669,0.4021
M9,0.3993
M669,0.389
M670,0.4205
M670,0.40299999999999997
M670,0.3948
M670,0.4072
M670,0.4031
M670,0.3992
M669,0.3999
M669,0.3961
M669,0.4087
M670,0.3561
M670,0.4117
M670,0.4075
M670,0.3878
M670,0.392
M670,0.3824
M669,0.3916
M669,0.3673
M669,0.3952
M9,0.3978
M670,0.3995
M670,0.3964
M9,0.4023
M670,0.4048
M670,0.4089
M669,0.4029
M669,0.3477
M669,0.4287
M670,0.3661
M9,0.4099
M670,0.4225
M670,0.3912
M9,0.3976
M670,0.3877
M669,0.4069
M669,0.3632
M669,0.3925
M670,0.4264
M670,0.4041
M670,0.4029
M670,0.4001
M670,0.405
M670,0.4022
M669,0.4
M669,0.3988
M669,0.4017
M670,0.3683
M670,0.4138
M728,0.3415
M670,0.3942
M670,0.3883
M670,0.4025
M670,0.4011
M9,0.4077
M669,0.4138
M669,0.3971
M670,0.4371
M670,0.3864
M670,0.3948
M728,0.3445
M670,0.4003
M670,0.4189
M670,0.4163
M670,0.4028
M9,0.4042
M9,0.4097
M641,0.40299999999999997
M641,0.4007
M641,0.3992
M641,0.401
M641,0.3974
M641,0.4012
M641,0.3979
M641,0.3971
M641,0.39899999999999997
M641,0.4026
M641,0.4022
M9,0.41200000000000003
M641,0.406
M641,0.3985
M641,0.3975
M641,0.3989
M641,0.3977
M641,0.3995
M641,0.4
M641,0.4001
M641,0.41
M641,0.3991
M641,0.3933
M641,0.402
M641,0.4027
M641,0.4082
M641,0.4032
M641,0.4057
M641,0.4003
M641,0.4006
M641,0.4023
M641,0.4055
M641,0.4041
M641,0.4054
M641,0.408
M9,0.40399999999999997
M641,0.4034
M641,0.3992
M9,0.3967
M641,0.397
M641,0.4001
M641,0.4002
M641,0.4107
M641,0.4029
M641,0.3996
M641,0.39899999999999997
M9,0.3866
M641,0.4331
M641,0.3999
M9,0.3997
M641,0.3999
M641,0.4207
M641,0.3992
M641,0.3932
M641,0.3938
M641,0.4103
M641,0.4002
M641,0.4018
M641,0.4071
M641,0.4022
M641,0.4009
M641,0.4059
M641,0.4055
M641,0.4019
M641,0.4128
M641,0.4006
M641,0.4135
M728,0.3411
M641,0.40299999999999997
M641,0.4072
M641,0.4023
M641,0.4043
M9,0.3969
M641,0.4113
M641,0.4146
M641,0.4043
M641,0.4037
M641,0.40399999999999997
M728,0.3421
M641,0.4021
M641,0.4052
M641,0.4056
M641,0.4065
M641,0.4042
M9,0.4002
M674,0.4281
M642,0.3832
M642,0.3969
M642,0.3947
M642,0.3996
M642,0.4031
M642,0.3919
M642,0.401
M642,0.3995
M642,0.3962
M642,0.4031
M642,0.3951
M674,0.4231
M642,0.3993
M642,0.3944
M642,0.3923
M642,0.3936
M642,0.3918
M642,0.39399999999999996
M642,0.3967
M642,0.3986
M642,0.4013
M642,0.4016
M642,0.3863
M642,0.3947
M642,0.3965
M642,0.4046
M642,0.3988
M642,0.4071
M642,0.3922
M642,0.3952
M642,0.3948
M642,0.4122
M642,0.4037
M642,0.3972
M642,0.3788
M674,0.4222
M642,0.3865
M642,0.3988
M674,0.4189
M642,0.3979
M642,0.3964
M642,0.4043
M642,0.4
M642,0.4006
M642,0.3913
M642,0.3906
M642,0.3962
M674,0.4285
M642,0.4266
M642,0.3979
M674,0.4224
M642,0.3879
M642,0.3928
M642,0.3953
M642,0.4069
M642,0.3996
M642,0.3991
M642,0.396
M642,0.3979
M642,0.3953
M642,0.3937
M642,0.3947
M642,0.4122
M642,0.4017
M642,0.3969
M642,0.4001
M642,0.3956
M642,0.402
M642,0.3927
M642,0.3969
M728,0.3378
M642,0.3971
M642,0.3922
M642,0.4091
M642,0.39399999999999996
M674,0.4103
M642,0.405
M642,0.39899999999999997
M642,0.39799999999999996
M642,0.3948
M642,0.4025
M642,0.395
M728,0.34299999999999997
M642,0.3978
M642,0.3944
M642,0.3975
M642,0.3952
M642,0.3936
M674,0.4268
M674,0.4349
M642,0.3992
M642,0.4051
M642,0.4064
M642,0.4057
M642,0.4064
M642,0.4121
M642,0.4069
M642,0.4029
M642,0.409
M674,0.4321
M642,0.4071
M642,0.4067
M642,0.4108
M642,0.4068
M642,0.4079
M642,0.4031
M642,0.4055
M642,0.4176
M642,0.4029
M642,0.4151
M642,0.4088
M642,0.419
M642,0.4033
M642,0.4006
M642,0.4011
M642,0.405
M642,0.4138
M642,0.406
M642,0.4082
M674,0.4353
M642,0.41600000000000004
M642,0.4094
M674,0.4337
M642,0.4114
M642,0.4064
M642,0.4124
M642,0.4095
M642,0.40700000000000003
M642,0.4099
M674,0.4407
M642,0.4446
M642,0.4071
M674,0.4287
M642,0.4195
M642,0.4053
M642,0.4068
M642,0.4074
M642,0.40399999999999997
M642,0.4093
M642,0.4098
M642,0.4093
M642,0.4137
M642,0.4113
M642,0.4122
M642,0.4102
M642,0.4137
M728,0.3448
M642,0.4123
M642,0.4151
M642,0.4129
M674,0.4335
M642,0.4258
M642,0.4092
M642,0.4087
M642,0.4075
M642,0.4177
M728,0.3444
M642,0.405
M642,0.4102
M642,0.4111
M674,0.433
M9,0.3997
M645,0.5471
M645,0.4185
M645,0.4189
M645,0.3881
M645,0.3809
M645,0.3909
M645,0.3989
M645,0.3954
M645,0.4069
M645,0.4008
M645,0.4008
M9,0.4056
M645,0.3769
M645,0.4017
M645,0.4087
M645,0.4023
M645,0.4081
M645,0.3573
M645,0.4270000000000001
M645,0.3865
M645,0.3963
M645,0.4028
M645,0.3955
M645,0.4061
M645,0.389
M645,0.3989
M645,0.3886
M645,0.39399999999999996
M645,0.3904
M645,0.3978
M645,0.406
M645,0.4001
M645,0.4589
M645,0.4011
M645,0.3189
M9,0.3996
M645,0.4437
M645,0.4012
M9,0.3995
M645,0.3915
M645,0.3938
M645,0.3977
M645,0.4021
M645,0.4129
M645,0.38799999999999996
M645,0.3187
M645,0.3934
M9,0.39299999999999996
M645,0.4348
M645,0.3958
M9,0.3957
M645,0.3953
M645,0.3914
M645,0.3958
M645,0.4217
M645,0.4139
M645,0.3217
M645,0.3893
M645,0.4002
M645,0.389
M645,0.4055
M645,0.3978
M645,0.4037
M645,0.3979
M645,0.3957
M645,0.5099
M645,0.4002
M645,0.4036
M645,0.415
M645,0.3897
M728,0.353
M645,0.4078
M645,0.4002
M645,0.4152
M645,0.4038
M9,0.4089
M645,0.4039
M645,0.4108
M645,0.3974
M645,0.3928
M645,0.3974
M645,0.4025
M728,0.3487
M645,0.382
M645,0.4208
M645,0.3523
M645,0.3986
M645,0.3866
M9,0.4024
M9,0.39799999999999996
M645,0.3849
M645,0.3968
M646,0.5146
M646,0.4052
M646,0.4378
M646,0.4008
M646,0.40299999999999997
M646,0.3863
M646,0.3777
M646,0.39299999999999996
M645,0.4093
M9,0.3905
M645,0.3922
M646,0.3841
M646,0.391
M646,0.3992
M646,0.3947
M646,0.3896
M646,0.3826
M646,0.3899
M646,0.3895
M645,0.3946
M645,0.3977
M645,0.391
M646,0.3856
M646,0.4066
M646,0.4039
M646,0.4021
M646,0.3979
M646,0.3872
M646,0.3858
M646,0.3944
M645,0.3896
M645,0.3906
M645,0.3911
M9,0.3901
M646,0.4019
M646,0.3961
M9,0.3915
M646,0.3906
M646,0.3943
M646,0.3864
M646,0.4191
M645,0.3831
M645,0.3865
M645,0.389
M646,0.3886
M9,0.414
M646,0.4294
M646,0.4039
M9,0.3937
M646,0.3928
M646,0.3769
M646,0.3911
M645,0.397
M645,0.3874
M645,0.3861
M646,0.3846
M646,0.3872
M646,0.3896
M646,0.3857
M646,0.3834
M646,0.3931
M646,0.3898
M646,0.3914
M645,0.4093
M645,0.3985
M645,0.4027
M646,0.4551
M646,0.4096
M728,0.3396
M646,0.4012
M646,0.3901
M646,0.3581
M646,0.4007
M9,0.3921
M646,0.4049
M645,0.3963
M645,0.3966
M646,0.5418
M646,0.4092
M646,0.4033
M728,0.345
M646,0.4056
M646,0.3861
M646,0.38799999999999996
M646,0.3907
M646,0.4038
M9,0.4124
M9,0.3966
M646,0.4022
M646,0.4015
M646,0.39799999999999996
M646,0.3904
M646,0.4007
M646,0.3875
M651,0.4018
M651,0.3841
M651,0.375
M651,0.3994
M646,0.3898
M9,0.3948
M646,0.408
M646,0.3915
M646,0.384
M646,0.3808
M651,0.4448
M651,0.38799999999999996
M651,0.3779
M651,0.3895
M651,0.4008
M646,0.4247
M646,0.3142
M646,0.39299999999999996
M646,0.4016
M646,0.3955
M646,0.3941
M651,0.3916
M651,0.3751
M651,0.3879
M651,0.3794
M651,0.3753
M646,0.4666
M646,0.3175
M646,0.3939
M9,0.4006
M646,0.3798
M646,0.3889
M9,0.4022
M651,0.3934
M651,0.3803
M651,0.3962
M651,0.39899999999999997
M646,0.4058
M646,0.3154
M646,0.3858
M646,0.4002
M9,0.3889
M646,0.4187
M651,0.3895
M9,0.3932
M651,0.385
M651,0.391
M651,0.40399999999999997
M646,0.4015
M646,0.4054
M646,0.3998
M646,0.3566
M646,0.4298
M646,0.3727
M651,0.4005
M651,0.4049
M651,0.3954
M651,0.4016
M651,0.38799999999999996
M646,0.4091
M646,0.3911
M646,0.4006
M646,0.4063
M646,0.3917
M728,0.3365
M646,0.4143
M651,0.3879
M651,0.4018
M651,0.39399999999999996
M9,0.408
M651,0.4006
M646,0.3239
M646,0.4045
M646,0.3936
M646,0.4197
M646,0.3936
M728,0.3411
M646,0.4108
M651,0.3649
M651,0.395
M651,0.3894
M651,0.391
M9,0.3993
M9,0.3936
M651,0.5312
M651,0.4066
M651,0.3941
M651,0.3862
M651,0.4026
M651,0.3977
M651,0.3998
M651,0.3828
M651,0.3892
M651,0.4133
M9,0.4035
M651,0.3967
M651,0.4019
M651,0.3692
M651,0.401
M651,0.3949
M651,0.4009
M651,0.3936
M651,0.3882
M651,0.4048
M651,0.5201
M651,0.3589
M651,0.395
M651,0.4186
M651,0.4101
M651,0.3968
M651,0.3929
M651,0.3963
M651,0.4032
M651,0.4138
M651,0.4008
M651,0.4047
M9,0.4055
M651,0.3902
M651,0.4006
M9,0.3932
M651,0.4202
M651,0.4008
M651,0.3875
M651,0.5456
M651,0.4071
M651,0.4081
M651,0.4129
M9,0.4009
M651,0.4334
M651,0.4003
M9,0.3966
